povrate60,mort_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack
52.959282,0,18674,84.599998,0.53244501,26.200001,1558,9231,9229,35.299999,42.099998
41.671013,0,50263,87.900002,0.57609057,30.200001,3917,23932,24550,26.4,21
65.645645,4.1084633,25058,88.199997,0.62536579,20.200001,2187,11961,12207,33.799999,52
56.27055,0,14923,84,0.55287355,16.5,1269,6960,7194,0,30.799999
45.624458,0,25414,82.699997,0.51906377,19.200001,2108,12091,13548,16.299999,3.3
71.88475,9.0440445,13636,83.300003,0.63773525,21.6,1201,6429,6328,27.5,71.900002
63.271542,4.9649968,24637,88.300003,0.58036852,20.5,2239,11777,12237,26.1,44.700001
34.06308,3.0577612,96246,87.099998,0.52070493,31.1,6789,49481,48062,55.5,18.700001
42.778378,2.7555041,38929,81,0.5550046,23.200001,2935,17344,20340,42.099998,36.700001
47.205925,12.558869,16886,81.900002,0.49855292,20.6,1253,7947,8461,0,10.3
52.229008,0,26213,84.400002,0.52151251,18.700001,2175,12086,13657,22.1,15.9
62.109222,0,18140,85.900002,0.59256393,18.700001,1542,9037,8384,0,49.599998
58.466175,10.557804,26738,84.099998,0.55657226,24.4,2052,12568,12549,31.6,49.5
49.76548,0,12852,83.699997,0.56768483,19.4,1036,5533,6892,0,16.299999
52.199707,0,11051,78,0.47438294,16.200001,879,5348,5708,0,6.4000001
50.684071,5.7636886,30383,79.699997,0.49485555,26.299999,2301,15162,15509,51.400002,20.700001
35.326622,0,46985,86.400002,0.52898616,33.5,3467,22942,24111,57.099998,19.299999
62.961342,0,18372,92.400002,0.63231099,18.700001,1589,8412,8894,20.799999,45.400002
51.698772,0,11428,87.400002,0.57869202,21.1,855,5153,5575,0,36.200001
46.309258,3.4018233,36577,84.800003,0.54431409,21.799999,2812,16022,19802,52.799999,16.1
64.908119,8.393487,15190,83.300003,0.58416718,19.200001,1228,6796,7942,0,31.1
48.081337,3.7777903,46017,86.099998,0.54674852,17.6,3739,21990,24091,23.9,1.1
40.678829,0,31527,84,0.42179611,35.799999,2001,16636,14871,30.700001,17.6
